about_me,label,contact details,non_alpha_density,high_density_clusters,language,intermixed_words
A︇︆︈l︇︆︈l︇︆︈ ︇︆︈m︇︆︈y︇︆︈ ︇︆︈s︇︆︈e︇︆︈x︇︆︈y︇︆︈ ︇︆︈p︇︆︈h︇︆︈o︇︆︈t︇︆︈o︇︆︈s︇︆︈ ︇︆︈a︇︆︈n︇︆︈d︇︆︈ ︇︆︈v︇︆︈i︇︆︈d︇︆︈e︇︆︈o︇︆︈s︇︆︈ ︇︆︈,1,1,0.75,"['A︇︆︈l︇︆︈l︇', '︆︈ ︇︆︈m︇︆︈', 'y︇︆︈ ︇︆︈s︇', '︆︈e︇︆︈x︇︆︈', 'y︇︆︈ ︇︆︈p︇', '︆︈h︇︆︈o︇︆︈', 't︇︆︈o︇︆︈s︇', '︆︈ ︇︆︈a︇︆︈', 'n︇︆︈d︇︆︈ ︇', '︆︈v︇︆︈i︇︆︈', 'd︇︆︈e︇︆︈o︇', '︆︈s︇︆︈ ︇︆︈']",unknown,[]
Ꮥር.emilyqed,1,1,0.09090909090909091,[],unknown,[]
M︈︇︉y︈︇︉ ︈︇︉r︈︇︉e︈︇︉a︈︇︉l︈︇︉ ︈︇︉s︈︇︉e︈︇︉x︈︇︉y︈︇︉ ︈︇︉p︈︇︉i︈︇︉c︈︇︉s︈︇︉ ︈︇︉h︈︇︉e︈︇︉r︈︇︉e︈︇︉ ︈︇︉-︈︇︉ ︈︇︉w︈︇︉w︈︇︉w︈︇︉.︈︇︉s︈︇︉a︈︇︉v︈︇︉m︈︇︉.︈︇︉c︈︇︉l︈︇︉u︈︇︉b︈︇︉,1,1,0.7697368421052632,"['M︈︇︉y︈︇︉ ︈', '︇︉r︈︇︉e︈︇︉', 'a︈︇︉l︈︇︉ ︈', '︇︉s︈︇︉e︈︇︉', 'x︈︇︉y︈︇︉ ︈', '︇︉p︈︇︉i︈︇︉', 'c︈︇︉s︈︇︉ ︈', '︇︉h︈︇︉e︈︇︉', 'r︈︇︉e︈︇︉ ︈', '︇︉-︈︇︉ ︈︇︉', 'w︈︇︉w︈︇︉w︈', '︇︉.︈︇︉s︈︇︉', 'a︈︇︉v︈︇︉m︈', '︇︉.︈︇︉c︈︇︉', 'l︈︇︉u︈︇︉b︈']",unknown,[]
N.e.e.d__f.u.n__m.y__S.c..n.i.g.h.t.g.i.r.l.m.e.e.t,1,1,0.5555555555555556,"['.y__S.c...', '..n.i.g.h.', 't.g.i.r.l.']",unknown,['N.e.e.d__f.u.n__m.y__S.c..n.i.g.h.t.g.i.r.l.m.e.e.t']
a-d-d..s-n-a-p>cutebabelucy,1,1,0.32142857142857145,['a-d-d...s-'],unknown,[]
T*e*x*t--S*c--c.u.t.e.b.a.b.e.l.u.c.y=,1,1,0.5384615384615384,"['T*e*x*t---', 'S*c--c.u.t', '.e.b.a.b.e']",unknown,['T*e*x*t--S*c--c.u.t.e.b.a.b.e.l.u.c.y']
me gusta comer me gusta salir me gusta trabajar me gusta estudiar,0,0,0.0,[],unknown,[]
Instagram: @eln3griti,1,1,0.09523809523809523,[],unknown,['eln3griti']
snap rusty47777,1,1,0.0,[],unknown,['rusty47777']
tinder?  :face_with_raised_eyebrow:  ig:isaacc_bu,1,1,0.18181818181818182,[],unknown,['ig:isaacc_bu']
"Lo$e spen$ing time *#tdoors—whet$er it@s hiking$ camping, or stargazing.",0,1,0.1388888888888889,[],unknown,"['Lo$e', 'spen$ing', 'tdoors—whet$er', 'it@s', 'hiking']"
"solo busco que me traten como una princesa y me vuelvan más caprichosa de lo que soy, busco un papi bueno que me cumpla los caprichos  :kiss_mark: .rn mi Instagram lun4aa.22",1,1,0.024844720496894408,[],es,['lun4aa.22']
buenas tardes yo busco conocer personas yo quiero alguien que me entienda y queme allude en los económico porque soy una persona muy pobre pero tampoco soy interesada no me gusta pedirle a nadie y tampoco Nome gusta mentirle Ami pareja,1,0,0.0,[],es,[]
"soy madre soltera tengo un hijo de 13 años, soy auxiliar de enfermería, hogareña, romántica, fiel, honesta, busco amistad sincera y transparente inicialmente me gustaría encontrar una persona que me ayude económicamente y si nos entendemos, me gustaría tener una relación seria",1,0,0.02527075812274368,[],es,[]
me gustan los hombre mayores y si es posible que me ayude economicamente estoy dispuesta a todo,1,0,0.0,[],es,[]
"amo a mi familia, mis amigas y el amor sincero. ( 0046352016 )",1,1,0.06451612903225806,[],es,[]
"Soy muy divertida , sales only :peach: rnC0ntenido $",1,1,0.06818181818181818,[],es,['only🍑rnC0ntenido']
Ig frankimeyyrnalguien que me consienta,1,1,0.0,[],es,[]
"Si quiere hablar conmigo enviame un regalito de esos que aparecen al lado del teclado, creeme te llevaras una sorpresa ( busco sugar daddy)",1,0,0.02158273381294964,[],es,[]
plus 52 5 6 1 0 5 7 8 7 3 6 rnrnESCRIBE AL WSP PARA EXPERIMENTAR COSAS NUEVA Y RICAS  :fire:  :smiling_face_with_horns: ,1,1,0.016666666666666666,[],es,[]
"hago contenid0 en internet, fot0s, v1deos y videollamadas",1,0,0.03508771929824561,[],es,"['contenid0', 'fot0s', 'v1deos']"
Instagram yaider22 escriban no tengo premium,1,1,0.0,[],es,['yaider22']
no puedo hablar por aki no tengo premium manden mensaje en mi Facebook q es Ram Polanco,1,1,0.0,[],es,[]
tengo 14 y busco a alguien sensilla y que me ame,1,0,0.0,[],es,[]
holap soy un chico de 16 de Quito sur :3 soy bajo mido 1.58,1,0,0.03389830508474576,[],es,[]
" :red_heart: NO BUSCO PAREJA. :folded_hands: Soy Asilado Político ,RADIESTESISTA , MASAJISTA PRIFESIONAL con técnicas OrientalesEn toda clase de masajes y tratamiento para damas cultas y de mente abierta.  :two_hearts:  ATENCION :Solo QUITO Damas Deseosas de conocimiento nuevo , confidencial con agradables experiencias para armonizar tu entorno energético LA Comunicación UNICAMENTE por  :telephone_receiver:  o porWashap este mi #. 0 9 6 8 7 3.1 7 2 4,,  :fire:  OJO:SI gustas yQUEDO EN VISTO Y SIN RESPUESTA:ELIMIN",1,1,0.03958333333333333,[],es,[]
en realidad mentí a esta app tengo 15 jaja así que no se si me puedo encontrar a una JAJA,1,0,0.0,[],es,[]
No puedo ver ni escribir mensajes ya que no soy premium. Escríbeme 6ocho 9 5 2 8 3 cero1,1,1,0.010309278350515464,[],es,"['6ocho', 'cero1']"
busco relación de seria,0,0,0.0,[],es,[]
amante ala música salsa y ala coxinar.,0,0,0.02631578947368421,[],es,[]
"Soy una mujer que sabe respetar, con un buen sentido del humor, súper familiar, muy cariñosa y gentil, me gusta cocinar para las personas que amo, amante del orden.rnQuiero encontrar ese ser amado, ese compañero de vida para formar una linda familia.",0,0,0.032,[],es,[]
"Lo más importante en la vida es la honestidad, por lo tanto soy una mujer sincera en todo momento.rnAmo la paz y no me gustan los conflictos. rnLo más valioso en mi vida: mis hijos.",0,0,0.027624309392265192,[],es,[]
"Me fascina lo espontáneo, lo leal, lo auténtico, la adrenalina disfrutar cada momento conocer lugares, culturas, bailar, música, autos, emprendedor, jamás me doy por vencido, me gusta la genuinidad de las personas y soy muy solidario y amable.",0,0,0.04526748971193416,[],es,[]
ciudad actual AREQUIPA // Amo oír los propósitos de vida y valoro a las personas que son agradecidas y las que se esfuerzan por lograrlo..,0,0,0.03597122302158273,[],es,[]
"Me considero una persona auténtica, con una sonrisa genuina y una risa contagiosa. Me esfuerzo por ser una versión mejor de mí misma cada día, y me rodeo de personas que me inspiran y me apoyan, me guío por valores como la integridad, la resiliencia y la compasión.",0,0,0.022641509433962263,[],es,[]
Soy cubano peloncito mido 175 de estatura ojos marrones y soy mulato y muy cariñoso,0,0,0.0,[],es,[]
Me gusta el rock xd y no sé qué es esta wea JAJAJAJArnig mely.blush,0,0,0.014925373134328358,[],es,[]
"soy muy divertida simpatica,me gusta agasajar a las personas,amo estar al aire libre ,me gustan los perros",0,0,0.02830188679245283,[],es,[]
"Difícil en 500 carácteres, pero me gustaría conocer a una mujer que pueda tener la misma visión de construcción de una vida en pareja; se que todos somos diferentes y tenemos heridas lo importante es disfrutar el proceso pero sin mentiras, con risas, locuras e irnos conociendo. Si eres de izquierda serán pocas las compatibilidades, hasta eso es importante, así como el amor por los animales, la naturaleza y la paz. Monogamia 100%, creo en la fidelidad y en la empatía.",0,0,0.025477707006369428,[],es,[]
Amante del soccer y amantes alas películas y series,0,0,0.0,[],es,[]
quisera conocer chicas serca de Huntington park para ser amistades.. soy nuevo en este pais,0,0,0.03260869565217391,[],es,[]
"Me gusta mucho hacer ejercicio mantenerme saludable Comer Bn , y Trabajar También",0,0,0.012345679012345678,[],es,[]
"soy divertido no soy atractivo pero tengo lo que muchas personas hermosas no tienen y es corazón, senti.ientos y VALORES",0,0,0.016666666666666666,[],es,[]
descarguen BADOO que es mucho mejor que esta app,1,0,0.0,[],es,[]
soy de Colombia tengo 17 años  :beaming_face_with_smiling_eyes: ,1,0,0.03225806451612903,[],es,[]
"Me llamo Nevan, tengo 17 años y soy genero fluido. Busco hacer amigas o tal vez una novia  :turtle: ",1,0,0.03296703296703297,[],es,[]
"Somos una pareja buscando una chica q quiera una relación estable. Somo cariñoso, amable,sencillos, no nos gusta las mentiras.",1,0,0.03968253968253968,[],es,[]
Hola estoy disponible en Pereira tu chica trans joven y bonita Michell cumpliendo toda tu fantasía sexuales :money-mouth_face:  :hot_face:  :smiling_face_with_horns: ,1,0,0.02727272727272727,[],es,[]
no hago encuentros pero si te interesa el contenido escribime :smiling_face_with_horns:  :heart_on_fire: ,1,0,0.07575757575757576,[],es,[]
"Soy profe de reiki y tarot,alegre, positiva, tranquila si alguien quiere alguna terapia comunicarse por interno",1,0,0.02702702702702703,[],es,[]
"Apasionada cajera y administradora de casino online  :slot_machine:  :money_bag: , disfruto el dinamismo del mundo digital y las emociones que ofrecen los juegos. Siempre estoy creando nuevos usuarios y asegurándome de que la experiencia sea fluida y divertida. Me encanta conocer gente nueva y compartir risas, así como aprender sobre sus intereses. Fuera del trabajo, disfruto de una buena película, un paseo por la naturaleza y la música en vivo. Busco a alguien con quien compartir aventuras y un buen sentido del humor.",1,0,0.022132796780684104,[],es,[]
"Hola me llamo Angela y luego de la perdida reciente de mi Papa, me a dejado un vacio y necesidad de crear un grupo espiritual, donde se pueda recibir guia y compartir experiencias cercanas a la muerte (ECM) vida luego de la muerte, experiencias paranormales, viajes astrales, y entre otros temas como despertar de conciencia. Etc Porfavor sea respetuoso al escribirme. Gracias  :folded_hands:  :rainbow:  :hamsa:  :magic_wand: ",1,0,0.03412073490813648,[],es,[]
"me encanta el cine , pasear y la fiesta",0,0,0.02564102564102564,[],es,[]
"hola. aquí buscando lo q no se me ah perdido.. Soy hombre de buen corazón, en busca de una mujer, que quiera una relación bonita",0,0,0.046511627906976744,[],es,[]
y si vamos por un café o una cervezas,0,0,0.0,[],es,[]
"Chico súper amoroso y cariñoso, amante de un vino a la orilla de la playa  :fire:  :mending_heart:  , me encanta viajar y las aventuras. me gusta Descubrir y ser descubierto, empoderado y soñador  :smirking_face:  :green_heart:  :money-mouth_face:  :money-mouth_face: ",0,0,0.07222222222222222,[],es,[]
"Me gustan los perros, escucho todo tipo de musica y me gusta salir a caminar  :smiling_face_with_open_hands: rnhablame al IG:Rodrigonina0511",0,1,0.027522935779816515,[],es,['IG:Rodrigonina0511']
La vida es corta y hay que aprovecharla . de mí Ig Wiz_g_97,0,1,0.05084745762711865,[],es,['Wiz_g_97']
En busca de conexión real,0,0,0.0,[],es,[]
me encantan las películas y amante de los perritos,0,0,0.0,[],es,[]
Ir por un café y una conversación,0,0,0.0,[],es,[]
me gusta escuchar música bailar practicar deportes,0,0,0.0,[],es,[]
yo soy dominicana mi padre y mi madre se llaman Gregorio y francista,0,0,0.0,[],es,[]
Amantes ala buena comida muchas diversiones,0,0,0.0,[],es,[]
"Me gustan comer, ver películas, salir de viaje, ir de compras, jugar videos juegos,",0,0,0.060240963855421686,[],es,[]
Me encanta conocer gente nueva: cuarenta y 8 catorce sesenta y 6 0 1 numero,0,1,0.011627906976744186,[],es,[]
me gusta el deporte,0,0,0.0,[],es,[]
soy deportista sociales hogareño no soporto las mentiras,0,0,0.0,[],es,[]
"Tengo 42 años, soy madre de 4 niños, 2 mayores de edad y 2 pequeños, soy masajista profesional terapéutica y comerciante",0,0,0.024193548387096774,[],es,[]
Soy un chico extrovertido,0,0,0.0,[],es,[]
"padre de mi bully, trabajando y viviendo.",0,0,0.04878048780487805,[],es,[]
hola soy una mujer umilde y muy buena persona,0,0,0.0,[],es,[]
hola soy Ursula tengo 41 años; soltera tengo 2 hijos soy misionera hace 3 años vivo en bs as soy cocinera . me gustaría conocer a alguin divertido q le guste pasear q le guste las reuniones familiares,0,0,0.01,[],es,[]
trabajador,0,0,0.0,[],es,[]
soy mecánico automotriz me gusta cocinar salir a pasear mirar películas charlar no me gusta la soledad,0,0,0.0,[],es,[]
me gusta la buena comida y compartir una salida,0,0,0.0,[],es,[]
amante ala naturaleza viajes y muchas cosas divertidas como el fútbol y bailes,0,0,0.0,[],es,[]
"He aquí mi mi intro: Me encanta hablar de todo tipo de temas, me encantan los animales, sobre todo los gatos, soy muy intensa con laa personas que quiero conocer asi sea solo por amistad, no creo que exista el amor a primera vista, es ridículo, como vas a amar a alguien que ni sabes quien es?, me gusta conocer todo de las personas, y por esto soy muy observadora, me gustan los videojuegos y los postres,y mido 1.60, soy directa y digo groserías mucho. IG:krenyuh",0,1,0.034408602150537634,[],es,[]
"Sinceridad sobre todas las cosas, más cuenta y 8 4 dieciséis 1 seies 2 treinta y 4 cincuenta",0,1,0.009174311926605505,[],es,[]
"hola Soy madre soltera, te un hijo de un año yo estoy haciendo todo lo posible por el, y ahora mismo no tengo trabajo y quiero encontrar 1, pero a nosotros los jóvenes casi no nos dan trabajo, otra cosa si no respondo es porque no soy primum y no puedo responder",0,0,0.015151515151515152,[],es,[]
"Me gusta conversar, ver películas, viajar, etc",0,0,0.06521739130434782,[],es,[]
no puedo ablar rnaqui les dejo mi instragram chapizza82,0,1,0.0,[],es,['chapizza82']
"por ejemplo,me gusta la música, salir con amigos",0,0,0.041666666666666664,[],es,[]
divertido y trabajador,0,0,0.0,[],es,[]
"Me gusta comer bien y hacer deporte, vida al aire libre, prefiero ws once 3 ciento cuarenta y 1 veinticuatro tr",0,1,0.017241379310344827,[],es,[]
amante dela buena comida,0,0,0.0,[],es,[]
"soy amante de la buena comida ,me gusta escuchar su buena musica y salir a trotar",0,0,0.012345679012345678,[],es,[]
Soy un joven tranquilo y amable que busca conocer a mujeres para hacer una amistad,0,0,0.0,[],es,[]
Me gusta salir a pasiar fuera de mi ciudad y conocer nuevos lugares,0,0,0.0,[],es,[]
Buen sentido del humor y soy venezolana,0,0,0.0,[],es,[]
Soy muy divertido xd,0,0,0.0,[],es,[]
me.gusta hacer nuevos amigos tener charlas de muchos temas y.de vez en cuando tomar un café y ir al cine,0,0,0.019230769230769232,[],es,[]
por ejemplo me gusta la ganadería. me gusta las huertas y los animales,0,0,0.014285714285714285,[],es,[]
"Estoy conociendo gente nueva. Soy muy amiguero. Y disfruto de todo: ciudad, playa, montaña. Ir al cine, a bailar, a comer algo rico, a explorar lugares nuevos, al teatro, quedarme en casa..rnSí quiero conocer una buena mujer, una compañera de vida. Sé que eso toma tiempo. Dios y los poderes del bien me asisten, con esto y con todo. rn Estoy viendo cómo es la dinámica, por aquí. Parece que sin Premium o VIP no pasa nada. rnMe quedo un rato. Y ya veremos..rn :folded_hands:  :folded_hands: . Bendiciones.",0,0,0.06276150627615062,[],es,[]
Tex бO78OѲ4らч8,1,1,0.0,[],pt,['бO78OѲ4らч8']
sou transexual voce curte? rnmoro no Guarujá sp brasil chamem no meu zap,1,0,0.013888888888888888,[],pt,[]
"Olá, sou 1 pessoa que gosto de coisas simple, de gente simples,lugares aconchegante e comidas simples ,sei me portar em lugares sofisticados ,mas prefiro a simplicidade,gosto d acampar,1 bom vinho,admirar as estrelas o sol a lua, não sou hip,não fumo,não bebo de vez em quando 1 vinho,mas 1 boa conversa é demais,sei respeitar os amigos e guardo todos no coração,amo exercício físico,pilates, amo viajar,não suporto cigarro ,se fumar escove os dentes :rolling_on_the_floor_laughing: e por aí vai",0,0,0.04051172707889126,[],pt,[]
"Dona de 1 coração enorme, alguém que ainda acredita num mundo onde as pessoas não são rasas, em relacionamentos que valem a pena..ME chama pra gente se conhecer melhor!!",0,0,0.04093567251461988,[],pt,[]
"sou viuva, evangélica e gostaria de encontrar pessoas sérias, para fazer amizades.",0,0,0.036585365853658534,[],pt,[]
"Decifra-me mais não me conclua,posso te surpreender!! As histórias mais lindas acontecem com começo,medo e sim!!",0,0,0.07894736842105263,[],pt,[]
trabalho estudo e faço academia e nos finais de semana vou ao parque fazer caminhada,0,0,0.0,[],pt,[]
Pix=fotinha 1 foto 50 2 fotos 100,1,0,0.030303030303030304,[],pt,[]
Boa noite me chamo isabel sou divorciada tenho 3 filhas todas casadas oque gosto de fazer e pescar enviar-nos rio,0,0,0.008620689655172414,[],pt,[]
"Eu gosto de caminhadas longas, gosto de ir a feira domingo de manhã, gosto de comer. O resto falo depois.rsrs",0,0,0.03669724770642202,[],pt,[]
boa noite eu quero 1 pessoa que mim fazem muito feliz eu também faço ele feliz também não gosto de mentiras quero 1 companheiro legal que podemos passear de mão dadas,0,0,0.0,[],pt,[]
"Sou canceriana, 1 pessoa sensível, intuitiva e emocional. Valorizo a família e os laços afetivos, sou muito protetora e carinhosa com aqueles que amo. Minha conexão com a natureza e meu gosto por pedalar refletem minha necessidade de encontrar paz e equilíbrio em ambientes tranquilos e harmoniosos.",0,0,0.019933554817275746,[],pt,[]
"Gostos das conversas que fazem rir até doer, mas amo as conversas que me ensinam algo novo ou que podem mudar meu ponto de vista sobre alguma coisa.rnCampinas/SP",0,1,0.018633540372670808,[],pt,[]
"adoro viajar, trabalhar rngosto de pagode e etc",0,0,0.02127659574468085,[],pt,[]
sou 1 pessoa agradável,0,0,0.0,[],pt,[]
sou brasileira 1 mulher que trabalha sou calmo 1 mulher que sabe oq que dá vida,0,0,0.0,[],pt,[]
"Eu tenho 1.75 de altura, gosto de ler de malhação de jogar bola no fim de semana, gosto de viajar, e faço faculdade de psicologia!!",0,0,0.04580152671755725,[],pt,[]
Amo honestidade! sonho embora do Brasil!amo animais..sou muito comunicativa! e química é respeito é essencial em 1 encontro! ou relacionamento,0,0,0.04861111111111111,[],pt,[]
Мне 16 если хочешь познакомиться пиши мне в Инстаграм _apathy_._,1,1,0.0625,[],ru,['_apathy_._']
"Живу в Алматы. KZ Мужчины рада видеть вас счастливыми, добрыми, мужественными, уважающими другое мнение! Прошу писать словами, а не стикерами :grinning_face_with_sweat: ",0,0,0.06338028169014084,[],ru,[]
За любой кипишь!rnІнст: __sergeykrivenko_,1,1,0.12195121951219512,[],ru,"['кипишь!rnІнст', '__sergeykrivenko_']"
"Люблю цветы :cherry_blossom:  :hibiscus:  :sunflower:  :rose:  :tulip:  :blossom:  :bouquet:  :cherry_blossom:  :hibiscus:  :sunflower:  :rose:  :tulip:  :blossom:  :bouquet: Днепропетровск, хочу быть счастливой))",0,0,0.2923076923076923,[],ru,[]
"Люблю готовить ,Поговорить выслушать .",0,0,0.05263157894736842,[],ru,[]
"Я люблю возможности, и езду верхом на женщинах, и насыщение ими, и возбуждение моих органов, и любовь, и насилие, и поцелуи, и облизывание, и секс, и сосание, и танцы",1,0,0.060240963855421686,[],ru,[]
"Муж хочет трахнуть меня груповушкой ни разу не было, может кто-то что-то подскажет!!?)) Можна и поучаствовать !!)",1,0,0.09734513274336283,['кажет!!?))'],ru,[]
я хочу тебе делать приятно между ног куни лингус киску голую киску лезать езыком тебя а ты у меня сосать мой член толстый будешь делать приятно между ног и заниматься любовью сексом стобой в киску твою трахнуть тебя,1,0,0.0,[],ru,[]
Го секс порно пизда,1,0,0.0,[],ru,[]
Могу стать спонсором,1,0,0.0,[],ru,[]
Куколд отношения,1,0,0.0,[],ru,[]
Запорожье.. 0 9 5 6 7 7 8 8 4 3.. пиши.. буду сосать писю тебе..я твоя соска  :face_blowing_a_kiss: ,1,1,0.0970873786407767,['... пиши..'],ru,[]
Ухх .пошли ве на хуй..убьюю,1,0,0.10714285714285714,[],ru,[]
мне 16-17 лет,1,0,0.07692307692307693,[],ru,[]
"здравствуйте девушки! меня зовут Сергей!я практикующий массажист !не дорого, только город Киев! только выезд к вам на дом! сеанс 60 мин.300 грн",1,0,0.04895104895104895,[],ru,['мин.300']
"Муж на час, умею делать всё",1,0,0.037037037037037035,[],ru,[]
"Муж на час ) имею инструмент , могу помочь выполнить некоторую роботу inst : oc.t0b3rl1n",1,1,0.045454545454545456,[],ru,['oc.t0b3rl1n']
"е#корт, не дорого",1,0,0.11764705882352941,[],ru,['е#корт']
Ватцап( плюс).(семьсот семьдесят 7.).( 11).(.40 1.).(40 2.).(.двадцать 9.). Народный Целитель оказываю свои услуги. Предсказание Прошлое Настоящее и Будущее. Налаживаю семейные отношения верну Человека в семью.Избавлю от плохих негативы Сглаз приворот отворот проклятия порча. Мои услуги официальные Работаю по ватцапу. По фото имя и год рождения полный расклад на 100% точности.,1,1,0.07616707616707617,['к два.).(.'],ru,[]
"bin für ein Sextreffen zu haben, wenn du Interesse hast und zeig mein Video",1,0,0.013333333333333334,[],de,[]
REACH OUT ON SNAP: WILD_ONE_XOXO FOR EXCLUSIVE STORIES!,1,1,0.07272727272727272,[],de,['WILD_ONE_XOXO']
"LOVE SPENDING TIME OUTDOORS—WHETHER IT'S HIKING, CAMPING, OR STARGAZING.",0,1,0.06944444444444445,[],de,[]
LOOKING FOR LATE-NIGHT FUN ;) ONLY REAL ONES HIT ME UP.,1,1,0.07272727272727272,[],de,[]
LOOKING FOR LATE-NIGHT FUN ;) ONLY REAL ONES HIT ME UP.,1,1,0.07272727272727272,[],de,[]
LOOKING FOR LATE-NIGHT FUN ;) ONLY REAL ONES HIT ME UP.,1,1,0.07272727272727272,[],de,[]
"люблю музику і малювати пхпх, можливо не виглядаю на свій вік. Шукаю хлопця який буде забезпечувати як мінімум :two_hearts: ",1,0,0.02702702702702703,[],uk,[]
по факту 17 так как не могу указать пишу тут,1,0,0.0,[],uk,[]
"Люблю спілкуватись, багато сміятись. Проста, відкрита. Хоббі волейбол, музика. Люблю посидіти в тишині..свій простір. Черпаю сили на природі)",0,0,0.07746478873239436,[],uk,[]
"Спокійний,одно люб,жінці не зраджую.",0,0,0.08333333333333333,[],uk,[]
Хочу закохатися) Одеса,0,0,0.045454545454545456,[],uk,[]
"Люблю подорожувати, цікавлюся театром, кіно, історією.",0,0,0.07407407407407407,[],uk,[]
я люблю різати голови чоловікам,1,0,0.0,[],uk,[]
"Я заплачу за сексуальні фото та відео. Мені подобаються ""нормальні"" дівчата, не обов'язково бути моделлю. Я люблю попи, ніжки та милі шкарпетки",1,0,0.04895104895104895,[],uk,[]
щиро оплачу ніч кохання,1,0,0.0,[],uk,[]
Шукаю дівчину для відносин сексвайф-куколд,1,0,0.023809523809523808,[],uk,[]
"Привіт, я HR менеджер, можу запропонувати тобі вакансію, мій кандидат не потребує досвіду чи якихось особливих знань. Робота у офісі але з крутим графіком, є дуже багато плюшок тому давай поспілкуємось і я тобі все розповім) тг Mars_jobss",1,1,0.029411764705882353,[],uk,['Mars_jobss']
"Інста notdamonanymore Нещодавно запустив бізнес, тому шукаю дівчат :no_one_under_eighteen: (оплата більш ніж солідна) За всією інф. пишіть в інсту :smiling_face_with_smiling_eyes:  PS. є можливість працювати без лиця",1,1,0.0440251572327044,[],uk,[]
"привіт, кого цікавить робота з моно пишите в лс, від 1000 грн",1,0,0.03278688524590164,[],uk,[]
" :kiss_mark:  :kiss_mark: I am Angelina by name .. I am new to this this online things and this is the first time I am looking for a Life partner online. I might not be available to reply to your message cos am not a full paid member, so if you are interested and care to communicate, Just Message On My E m a i l Sarahhicks 2 0 1 0 1 at gee mail dot cum I am real and serious about this ..Am online now..Thank You. ?",1,1,0.04834605597964377,[],en,[]
"hi, I am sorry that I am not responding to the message, write to me, I definitely will not miss your message there TG-GRAMM ARIELRYY",1,1,0.1732283464566929,"['here 🆃🅶-🅶🆁', '🅼🅼 🆁🅸🅴🅻🆁🆈🆈']",en,[]
I am looking for a patient and sincere man to spend my life with.rnTG:KaterynaDudnyk95rnIG:KarinaConfident,1,1,0.0380952380952381,[],en,['with.rnTG:KaterynaDudnyk95rnIG:KarinaConfident']
"Be smart and contact me directly; kisscostaa ,my ID and to figure the network, you would add the first alphabet of the following word in capital, Give , Mute, At, Ink, Love. Let see if you solve it by writing me. Had to Sneak this in lol",1,1,0.04680851063829787,[],en,[]
"HI I am new on this Site, a friend of mine introduced me on Kismia couple months ago, your post are wonderful i do not think we are friends here on Kismia I actually send you a message but eventually it did not go through, please if you do not mind, can you send me a email so that we can be able to communicate more better on Google chat.. what did you think about it??",1,1,0.03278688524590164,[],en,[]
